STATIONNAME,CDEC ID,USGS ID,USACE ID,CNRFC ID,lat,lon,Elevation (feet),RIVER_BASIN,COUNTY,OPERATOR,Gage Type
OAK KNOLL,OKK,,,,41.833,-123.833,1940,SMITH R,DEL NORTE,US Forest Service,temp
CRANSTON,CNS,,,,33.74,-116.841,1950,SAN JACINTO R,RIVERSIDE,US Forest Service,temp
OUR HOUSE DAM,OHD,,,,39.412,-120.9964,1960,YUBA R,YUBA,CA Dept of Water Resources/Flood Management,temp
DORRIS RANCH,DRS,,,,39.329,-121.108,1968,YUBA R,NEVADA,CAL FIRE,temp
SANTA ROSA PLATEAU,SAR,,,,33.529,-117.231,1980,SAN JACINTO R,RIVERSIDE,CAL FIRE,temp
HAWKEYE,HKY,,,,38.727,-122.84,2000,RUSSIAN R,SONOMA,CAL FIRE,temp
LOS ALTOS HILLS,LSA,,,,37.3581,-122.1472,2001,BAYSIDE-SAN MATEO,SANTA CLARA,CAL FIRE,temp
MILO,MLO,,,,36.232,-118.871,2002,TULARE LAKE,TULARE,CAL FIRE,temp
READER RANCH,RDH,,,,39.304,-121.117,2025,YUBA R,NEVADA,CAL FIRE,temp
MALLORY RIDGE,MLR,,,,37.817,-121.779,2040,DELTA,CONTRA COSTA,Contra Costa Water District,temp
ALPINE,API,,,,32.834,-116.739,2041,SAN DIEGO R,SAN DIEGO,US Forest Service,temp
WEAVERVILLE RS,WVR,,,,40.733,-122.95,2050,TRINITY R,TRINITY,US Forest Service,temp
POVERTY,POV,,,,37.44306,-121.77056,2066,ALAMEDA CR,SANTA CLARA,San Francisco PUC,temp
DEVORE,DEV,,,,34.22111,-117.40444,2070,LYTLE CR,SAN BERNARDINO,CAL FIRE,temp
EL PORTAL,EPW,,,,37.67533,-119.78792,2073,MERCED R,MARIPOSA,National Park Service,temp
COUNTY LINE RAWS NR WILBUR SPRINGS,CYW,,,,39.0189,-122.4119,2085,CACHE CR,COLUSA,US Bureau of Land Management,temp
BULLARDS BAR,BUD,,,,39.3963,-121.1439,2100,YUBA R,YUBA,Yuba County Water Agency,temp
TRINITY CAMP,TNC,,,,40.679,-122.833,2100,TRINITY R,TRINITY,CAL FIRE,temp
BURRO CANYON BAER,BCN,,,,34.246,-117.838,2121,SAN GABRIEL R,LOS ANGELES,US Forest Service,temp
NEWHALL PASS,NHP,,,,34.3369,-118.5203,2135,SANTA CLARA R,LOS ANGELES,Los Angeles County Fire Dept,temp
SWEETWATER (CDF),SWW,,,,37.397,-121.485,2150,SAN ANTONIO CR (SF BAY),SANTA CLARA,CAL FIRE,temp
KLAMATH R BLW IRON GATE (WATER QUALITY),KIW,,,,41.928,-122.443,2162,KLAMATH R,SISKIYOU,Karuk Tribe of California,temp
KNOCTI RAWS (MT. KONOCTI),KTI,,,,38.9118,-122.7063,2163,CACHE CR,LAKE,CAL FIRE,temp
JUNIPER FLATS,JUN,,,,33.769,-117.083,2200,SAN JACINTO R,RIVERSIDE,CAL FIRE,temp
KNOXVILLE CREEK,KNO,,,,38.8619,-122.4172,2200,PUTAH CR,LAKE,US Bureau of Land Management,temp
SAN MARCOS,SMA,,,,34.517,-119.817,2200,SANTA YNEZ R,SANTA BARBARA,US Forest Service,temp
MARIPOSA RANGER STATION,MRP,,,,37.50417,-119.98695,2250,MERCED R,MARIPOSA,CAL FIRE,temp
CASE SPRINGS PENDLETON,CSS,,,,33.445,-117.418,2320,SANTA MARGARITA R,SAN DIEGO,US Marine Corps,temp
POTRERO,POT,,,,32.605,-116.609,2350,SWEETWATER R,SAN DIEGO,CAL FIRE,temp
DEMOCRAT,DEM,,,,35.532,-118.13,2356,KERN R,KERN,US Forest Service,temp
TIGER CREEK POWERHOUSE,TCP,,,,38.45,-120.483,2360,MOKELUMNE R,CALAVERAS,Pacific Gas & Electric,temp
GRASS VALLEY,GVY,,,,39.2056,-121.0672,2400,YUBA R,NEVADA,CA Dept of Water Resources/Flood Management,temp
PINE GROVE,PIN,,,,38.4,-120.633,2440,MOKELUMNE R,AMADOR,CA Dept of Water Resources,temp
WHITMORE (CDF),WHT,,,,40.6194,-121.8994,2454,SACRAMENTO R,SHASTA,CAL FIRE,temp
COFFEE CREEK RANGER STATION,CFF,,,,41.0894,-122.7086,2503,TRINITY R,TRINITY,CA Dept of Water Resources/Flood Management,temp
ESPERANZA (BANNER ROAD),ESP,,,,38.28442,-120.48975,2512,CALAVERAS R,CALAVERAS,CAL FIRE,temp
FIVE CENT,FVC,,,,40.7597,-122.9308,2550,TRINITY R,TRINITY,US Forest Service,temp
SADDLEBACK BUTTE,SDD,,,,34.668,-117.821,2590,ANTELOPE VALLEY,LOS ANGELES,Los Angeles County Fire Dept,temp
ACTON,ACN,,,,34.446,-118.2,2600,SANTA CLARA R,LOS ANGELES,Los Angeles County Fire Dept,temp
BEN LOMOND (CDF),BLO,,,,37.132,-122.17,2630,SAN LORENZO R,SANTA CRUZ,CAL FIRE,temp
NORTH FORK R S,NFR,,,,37.233,-119.5,2630,SAN JOAQUIN R,MADERA,US Forest Service,temp
ISABELLA WEATHER,IWS,,,,35.6458,-118.4764,2660,KERN R,KERN,US Army Corps of Engineers,temp
JARBO GAP,JAR,,,,39.736,-121.489,2700,FEATHER R,BUTTE,CAL FIRE,temp
RUTH LAKE,RTH,,,,40.319,-123.372,2700,MAD R,HUMBOLDT,CA Dept of Water Resources/Flood Management,temp
WHISPERING PINES,WSP,,,,38.80583,-122.70833,2700,PUTAH CR,LAKE,CA Dept of Water Resources,temp
KERN PH 3,KP3,,,,35.7759,-118.43606,2703,KERN R,KERN,Southern California Edison Company-Big Creek,temp
GRASS VALLEY CREEK,GVO,,,,40.625,-122.76,2715,TRINITY R,TRINITY,US Bureau of Reclamation,temp
KERNVILLE (USFS),KRN,,,,35.755,-118.425,2720,KERN R,KERN,US Forest Service,temp
SECRET TOWN,SRT,,,,39.183,-120.883,2720,BEAR R,NEVADA,CAL FIRE,temp
TANBARK ANGELES NF,TAN,,,,34.167,-117.767,2730,LOS ANGELES R,LOS ANGELES,US Forest Service,temp
GRASS VALLEY CREEK INFLOW,GVI,,,,40.621,-122.752,2750,TRINITY R,TRINITY,US Bureau of Reclamation,temp
OAK GROVE,OKG,,,,33.393,-116.795,2752,SANTA MARGARITA R,SAN DIEGO,US Forest Service,temp
ANTELOPE VALLEY CALIF POPPY RESERVE,POP,,,,34.738,-118.404,2760,ANTELOPE VALLEY,LOS ANGELES,Los Angeles County Fire Dept,temp
MAD RIVER (USFS),MDF,,,,40.463,-123.524,2775,MAD R,TRINITY,US Forest Service,temp
PARKS CK NR EDGEWOOD,PCE,,,,41.4921,-122.4711,2778,SHASTA R,SISKIYOU,CA Dept of Water Resources-NRO,temp
LYTLE CREEK,LYC,,,,34.234,-117.48,2792,SANTA ANA R,SAN BERNARDINO,US Forest Service,temp
FAWN LODGE,FWN,,,,40.625,-122.905,2800,TRINITY R,TRINITY,CAL FIRE,temp
HENNINGER FLATS,HEN,,,,34.195,-118.0934,2800,LOS ANGELES R,LOS ANGELES,Los Angeles County Fire Dept,temp
MF TUOLUMNE R NR OAKLAND REC CAMP,MTO,,,,37.8283,-120.1081,2800,TUOLUMNE R,TUOLUMNE,City and County of San Francisco,temp
TUOLUMNE STF 2 PORTABLE RAWS,POU,,,,37.9487,-120.2706,2800,TUOLUMNE R,TUOLUMNE,US Forest Service,temp
COW CREEK (USBR),CCE,,,,40.603,-121.853,2840,SACTO VLY NE,SHASTA,US Bureau of Reclamation,temp
FORBESTOWN,FBS,,,,39.517,-121.2661,2840,FEATHER R,BUTTE,Pacific Gas & Electric,temp
JOHN'S PLACE,JPD,,,,39.2165,-120.98,2850,YUBA R,NEVADA,CA Dept of Water Resources,temp
MEANS LAKE,MNS,,,,34.391,-116.517,2900,WHITEWATER R,SAN BERNARDINO,US Bureau of Land Management,temp
DOWNIEVILLE,DNV,,,,39.5586,-120.8292,2920,YUBA R,SIERRA,CA Dept of Water Resources/Flood Management,temp
WEED AIRPORT,WED,,,,41.47889,-122.45472,2930,SHASTA R,SISKIYOU,CAL FIRE,temp
COOSKIE MOUNTAIN,CSM,,,,40.258,-124.25,2950,MATTOLE R,HUMBOLDT,US Forest Service,temp
MILL CREEK NEAR YUCAIPA,MLL,,,,34.083,-117.035,2950,SANTA ANA R,SAN BERNARDINO,US Bureau of Land Management,temp
MT. ZION,MTZ,,,,38.39,-120.6525,2968,MOKELUMNE R,AMADOR,CAL FIRE,temp
LAKE PALMDALE,LPA,,,,34.5372,-118.1014,2980,MOJAVE DESERT,LOS ANGELES,Los Angeles County Fire Dept,temp
CLEAR CREEK RAWS,CEK,,,,34.271,-118.153,3000,LOS ANGELES R,LOS ANGELES,US Forest Service,temp
DUDLEYS (MCDIARMID FIRE STATION),DDL,,,,37.72091,-120.09614,3000,MERCED R,MARIPOSA,CA Dept of Water Resources/Flood Management,temp
BRAZIE RANCH,BZR,,,,41.687,-122.6,3020,KLAMATH R,SISKIYOU,CAL FIRE,temp
EL CARISO,ECA,,,,33.65,-117.41,3038,SAN JACINTO R,RIVERSIDE,US Forest Service,temp
COFFEE RIDGE,CFR,,,,41.083,-122.717,3040,TRINITY R,TRINITY,US Bureau of Reclamation,temp
ROSE PEAK,RSP,,,,37.502,-121.736,3060,EAST BAY,ALAMEDA,East Bay Regional Parks Fire-Rescue Services,temp
YUCCA VALLEY,YUC,,,,34.123,-116.408,3100,WHITEWATER R,SAN BERNARDINO,CAL FIRE,temp
LOWDEN,LWD,,,,40.69,-122.831,3120,TRINITY R,TRINITY,US Bureau of Land Management,temp
CALLAHAN (USFS),CHA,,,,41.333,-122.833,3136,SCOTT R,SISKIYOU,US Forest Service,temp
BATTERSON,BTT,,,,37.383,-119.617,3160,SAN JOAQUIN R,MADERA,US Forest Service,temp
ASH CREEK (USFS),ASC,,,,41.27694,-121.97945,3200,MC CLOUD R,SISKIYOU,US Forest Service,temp
BUCK MEADOWS,BKM,,,,37.8233,-120.0975,3200,TUOLUMNE R,TUOLUMNE,Hetch Hetchy Water and Power,temp
FIGUEROA,FIG,,,,34.734,-120.007,3200,SANTA YNEZ R,SANTA BARBARA,US Forest Service,temp
HIRZ,HRZ,,,,40.9,-122.25,3200,SACRAMENTO R,SHASTA,US Bureau of Reclamation,temp
LYONS VALLEY,LYO,,,,39.125,-123.071,3200,RUSSIAN R,LAKE,US Bureau of Land Management,temp
GEORGETOWN (USBR),GTW,,,,38.925,-120.789,3250,AMERICAN R,EL DORADO,US Bureau of Reclamation,temp
MCCLOUD,MLD,,,,41.25,-122.133,3280,MC CLOUD R,SHASTA,US Bureau of Reclamation,temp
CLEAR CREEK,CLR,,,,40.639,-122.667,3300,SACTO VLY NE,SHASTA,US Bureau of Reclamation,temp
METCALF GAP,MCF,,,,37.41,-119.765,3300,FRESNO R,MADERA,CAL FIRE,temp
MORMON ROCK,MRN,,,,34.317,-117.502,3300,LYTLE CR,SAN BERNARDINO,US Forest Service,temp
ROSE VALLEY,ROV,,,,34.536,-119.184,3331,U SANTA CLARA R,VENTURA,CAL FIRE,temp
MCPHAILS PEAK,PHA,,,,36.6567,-121.3664,3353,SAN BENITO R,SAN BENITO,National Weather Service,temp
CALAVERAS RANGER STATION,CVS,,,,38.19661,-120.36755,3360,STANISLAUS R,CALAVERAS,US Bureau of Reclamation,temp
BATTLE RIDGE,BTR,,,,40.333,-121.75,3400,SACTO VLY WEST,TEHAMA,US Bureau of Reclamation,temp
COTTONWOOD CREEK NEAR BEEGUM,CTN,,,,40.317,-122.881,3400,COTTONWOOD CR,TEHAMA,US Bureau of Reclamation,temp
DRUM POWER HOUSE,DPH,,,,39.264,-120.767,3400,BEAR R,PLACER,Pacific Gas & Electric,temp
MUD SPRINGS,MUD,,,,40.717,-123.283,3400,TRINITY R,TRINITY,CA Dept of Water Resources/Flood Management,temp
QUINCY (DWR),QCY,,,,39.935,-120.95,3408,FEATHER R,PLUMAS,CA Dept of Water Resources/O & M,temp
HILLCREST,HLC,,,,40.867,-121.883,3440,PIT R,SHASTA,US Bureau of Reclamation,temp
PACIFIC HOUSE,PFH,,,,38.76,-120.5,3440,AMERICAN R,EL DORADO,US Bureau of Reclamation,temp
RANCHITA,RAN,,,,33.22222,-116.4975,3450,SAN LUIS REY R,SAN DIEGO,CAL FIRE,temp
SOUTH FORK MOUNTAIN,SHK,,,,40.657,-122.525,3450,SACRAMENTO R,SHASTA,US Bureau of Reclamation,temp
KETTENPOM,KET,,,,40.15,-123.467,3468,EEL R,TRINITY,CA Dept of Water Resources/Flood Management,temp
DESCANSO,DSC,,,,32.857,-116.622,3480,SAN DIEGO R,SAN DIEGO,US Forest Service,temp
QUINCY RANGER DISTRICT,QYR,,,,39.975,-120.941,3500,FEATHER R,PLUMAS,US Forest Service,temp
MILL CREEK NEAR LA CANADA,MLC,,,,34.383,-118.067,3510,SAN GABRIEL R,LOS ANGELES,US Forest Service,temp
SACATA REPEATER,SC1,,,,36.9153,-119.2075,3520,KINGS R,FRESNO,US Army Corps of Engineers,temp
STIRLING CITY,SRL,,,,39.9044,-121.5278,3520,FEATHER R,BUTTE,CA Dept of Water Resources,temp
SLY PARK,SLP,,,,38.718,-120.563,3530,COSUMNES R,EL DORADO,US Bureau of Reclamation,temp
NELSON ST TAYLORSVILLE,TAY,,,,40.0793,-120.8357,3540,FEATHER R,PLUMAS,CA Dept of Water Resources,temp
MOUNT SHASTA,MTS,,,,41.313,-122.316,3545,SACRAMENTO R,SISKIYOU,CA Dept of Water Resources/Flood Management,temp
MT SHASTA,MTA,,,,41.315,-122.317,3550,SACRAMENTO R,SISKIYOU,US Forest Service,temp
GREENVILLE,GRE,,,,40.1394,-120.9412,3560,FEATHER R,PLUMAS,CA Dept of Water Resources/O & M,temp
SQUAW SPRINGS,SWS,,,,35.3683,-117.5703,3620,MOJAVE DESERT,SAN BERNARDINO,US Bureau of Land Management,temp
BLACK MOUNTAIN,BLM,,,,35.395,-120.353,3625,SALINAS R,SAN LUIS OBISPO,CA Dept of Water Resources/Flood Management,temp
SHINGLETOWN,SHI,,,,40.496,-121.85,3630,SACTO VLY WEST,SHASTA,CA Dept of Water Resources,temp
DUDLEY RANCH BELOW COULTERVILLE,DUC,,,,37.741,-120.133,3654,MERCED R,MARIPOSA,Merced Irrigation District,temp
KERN POWER HOUSE INTAKE,FPI,,,,35.9458,-118.47686,3654,KERN R,KERN,Southern California Edison Company,temp
KERN POWER HOUSE INTAKE,KPI,,,,35.9458,-118.47686,3654,KERN R,KERN,Southern California Edison Company,temp
OZENA,OZN,,,,34.682,-119.354,3670,CUYAMA R,VENTURA,US Forest Service,temp
SOLDIER MOUNTAIN,SLD,,,,40.926,-121.586,3710,PIT R,SHASTA,CAL FIRE,temp
PIKE COUNTY,PKC,,,,39.475,-121.202,3714,YUBA R,YUBA,US Forest Service,temp
TELEGRAPH HILL,TLH,,,,38.03,-120.353,3730,STANISLAUS R,TUOLUMNE,US Bureau of Reclamation,temp
HERNANDEZ,HDZ,,,,36.383,-120.854,3752,SAN BENITO R,SAN BENITO,CAL FIRE,temp
BRANCH MOUNTAIN,BMO,,,,35.189,-120.083,3770,SALINAS R,SAN LUIS OBISPO,US Forest Service,temp
VALYERMO,VLY,,,,34.446,-117.851,3780,ANTELOPE VALLEY,LOS ANGELES,US Forest Service,temp
TUOLUMNE R AT THE GRAND CYN OF TUOLUMNE,TGC,,,,37.91659,-119.6599,3830,TUOLUMNE R,TUOLUMNE,US Geological Survey,temp
SUGAR PINE,SGP,,,,39.128,-120.75,3843,AMERICAN R,PLACER,US Bureau of Reclamation,temp
MOUNT DIABLO,MTD,,,,37.8816,-121.9141,3849,EAST BAY,CONTRA COSTA,San Ramon Valley Fire District,temp
SADDLE CAMP,SAD,,,,40.167,-122.8,3850,COTTONWOOD CR,TEHAMA,CA Dept of Water Resources,temp
SMITH PEAK RAWS,SEW,,,,37.8005,-120.1008,3871,TUOLUMNE R,TUOLUMNE,US Forest Service,temp
BUFFALO CREEK,BFC,,,,40.5819,-119.79,3900,NOT SPECIFIED,State of Nevada,US Bureau of Land Management,temp
JERSEYDALE,JSD,,,,37.542,-119.84,3900,MERCED R,MARIPOSA,US Forest Service,temp
BIG PINES,BPI,,,,34.379,-117.692,3917,ANTELOPE VALLEY,LOS ANGELES,US Forest Service,temp
ANZA,ANZ,,,,33.5558,-116.6744,3920,SAN JACINTO R,RIVERSIDE,CAL FIRE,temp
HETCH HETCHY MET STATION,HEM,,,,37.94493,-119.78315,3920,TUOLUMNE R,TUOLUMNE,City of San Francisco,temp
CAMP 9,CP9,,,,34.3532,-118.4186,3998,SANTA CLARA R,LOS ANGELES,Los Angeles County Fire Dept,temp
BEAR VALLEY,BVY,,,,35.14,-118.625,4000,CALIENTE CR,KERN,CAL FIRE,temp
HAYFORK,HYF,,,,40.5,-123.333,4000,TRINITY R,TRINITY,US Forest Service,temp
INDIAN WELLS CANYON,IWC,,,,35.685,-117.8894,4000,MOJAVE DESERT,KERN,US Bureau of Land Management,temp
TAYLOR RIDGE,TYR,,,,40.917,-122.817,4000,TRINITY R,TRINITY,US Bureau of Reclamation,temp
ZENIA,ZEN,,,,40.208,-123.46,4000,EEL R,TRINITY,CA Dept of Water Resources,temp
JAWBONE LAVA FLAT RAWS,JFR,,,,37.8872,-120.0479,4020,TUOLUMNE R,TUOLUMNE,US Forest Service,temp
WARM SPRINGS (USFS),WSG,,,,34.583,-118.55,4020,SANTA CLARA R,LOS ANGELES,US Forest Service,temp
PINEHURST,PNT,,,,36.68528,-119,4060,KINGS R,FRESNO,US Forest Service,temp
LOWER KLAMATH NWR,LKL,,,,41.999,-121.7,4098,KLAMATH R,SISKIYOU,US Fish & Wildlife Service,temp
LOST HORSE,LTH,,,,34.017,-116.183,4100,WHITEWATER R,RIVERSIDE,National Park Service,temp
MOUNTAIN REST,MTF,,,,37.054,-119.371,4100,SAN JOAQUIN R,FRESNO,US Forest Service,temp
TRINITY GUARD STATION,TGS,,,,40.825,-122.66,4100,TRINITY R,TRINITY,US Bureau of Reclamation,temp
LASSEN LODGE,LAS,,,,40.35,-121.7,4120,SACRAMENTO R,TEHAMA,CAL FIRE,temp
WHITAKER,WTK,,,,34.569,-118.74,4120,SANTA CLARA R,LOS ANGELES,Los Angeles County Fire Dept,temp
FIVE MILE,FML,,,,35.872,-117.918,4150,KINGS R,INYO,US Bureau of Land Management,temp
SUGARLOAF (USFS),SUG,,,,40.917,-122.438,4200,SACRAMENTO R,SHASTA,US Forest Service,temp
YOSEMITE AT YOSEMITE VALLEY,YYV,,,,37.74,-119.589,4200,MERCED R,MARIPOSA,Merced Irrigation District,temp
QUARTZ HILL,QTZ,,,,41.6,-122.929,4238,SCOTT R,SISKIYOU,CAL FIRE,temp
DOYLE (BLM),DYE,,,,40.022,-120.106,4240,SUSAN R,LASSEN,CAL FIRE,temp
JULIAN,JUL,,,,33.076,-116.591,4240,SAN DIEGO R,SAN DIEGO,CAL FIRE,temp
CFA RAWS NR IONE,CF1,,,,39.8286,-121.4717,4266,FEATHER R,BUTTE,CAL FIRE,temp
JAWBONE,JWB,,,,35.295,-118.226,4300,MOJAVE DESERT,KERN,CAL FIRE,temp
SEED ORCHARD RAWS NEAR MICHIGAN BLUFF 4N,SOM,,,,39.09139,-120.73167,4300,AMERICAN R,EL DORADO,US Forest Service,temp
WAWONA RAWS,WWN,,,,37.53444,-119.645,4300,MERCED R,MARIPOSA,Yosemite National Park,temp
WHITE CLOUD,WTC,,,,39.3167,-120.8375,4321,YUBA R,NEVADA,CAL FIRE,temp
MODOC NWR,MDN,,,,41.459,-120.354,4380,PIT R,MODOC,US Fish & Wildlife Service,temp
LAURAL MOUNTAIN,LRM,,,,35.4783,-117.6992,4390,CHINA LAKE,KERN,US Bureau of Land Management,temp
SCORPION,SCP,,,,41.112,-122.697,4400,TRINITY R,TRINITY,US Forest Service,temp
DEER CK FOREBAY (PG&E),DRC,,,,39.3,-120.825,4455,YUBA R,NEVADA,Pacific Gas & Electric,temp
ALDER SPRINGS NEAR ELK CREEK,ADS,,,,39.65,-122.725,4500,STONY CR,GLENN,US Forest Service,temp
OWENS CAMP,OWC,,,,38.733,-120.245,4500,AMERICAN R,EL DORADO,US Forest Service,temp
SAWYERS BAR,SYB,,,,41.3,-123.117,4500,SALMON R,SISKIYOU,US Forest Service,temp
CASHMAN,CSH,,,,40.0019,-120.916,4520,FEATHER R,PLUMAS,National Park Service,temp
GOAT MOUNTAIN,GTM,,,,37.27,-119.543,4520,SAN JOAQUIN R,MADERA,US Bureau of Reclamation,temp
CHESTER,CHS,,,,40.283,-121.233,4525,FEATHER R,PLUMAS,US Forest Service,temp
KLAMATH NWR,KMN,,,,41.953,-121.582,4531,KLAMATH R,SISKIYOU,US Fish & Wildlife Service,temp
DEADWOOD REPEATER,DW1,,,,37.3136,-119.685,4540,FRESNO R,MADERA,US Army Corps of Engineers,temp
HAMILTON BRANCH,HAM,,,,40.2725,-121.0914,4560,FEATHER R,PLUMAS,CA Dept of Water Resources/Flood Management,temp
HOADLEY,HDL,,,,40.683,-122.75,4580,TRINITY R,SHASTA,US Bureau of Reclamation,temp
HELL HOLE (USFS),HLH,,,,39.0717,-120.4217,4580,AMERICAN R,PLACER,US Forest Service,temp
OWENS VALLEY,OVC,,,,37.39,-118.55,4640,OWENS R,INYO,CAL FIRE,temp
SLATER BUTTE,SRB,,,,41.858,-123.354,4670,KLAMATH R,SISKIYOU,US Forest Service,temp
BALD MOUNTAIN (USFS),BMT,,,,38.9,-120.683,4680,RUBICON R,EL DORADO,US Forest Service,temp
GRANITE MOUNTAIN,GAM,,,,34.536,-117.026,4690,MOJAVE R,SAN BERNARDINO,US Bureau of Land Management,temp
JUNIPER CREEK,JUC,,,,41.328,-120.467,4700,PIT R,MODOC,US Bureau of Land Management,temp
SIERRA CITY,SRC,,,,39.5678,-120.6528,4700,YUBA R,SIERRA,CA Dept of Water Resources,temp
BALD MOUNTAIN (USBR),BDM,,,,37.067,-119.4,4720,SAN JOAQUIN R,FRESNO,US Bureau of Reclamation,temp
CEDAR GROVE,CGR,,,,36.788,-118.659,4720,KINGS R,TULARE,National Park Service,temp
LAKE CTY RAWS1 (COBB MT),LC1,,,,38.8064,-122.7405,4725,LAKE TAHOE,LAKE,Lake County,temp
UPPER CHERRY CK,UCC,,,,38.03133,-119.90142,4750,TUOLUMNE R,TUOLUMNE,San Francisco County,temp
CHERRY VALLEY MET STATION,CVM,,,,37.97466,-119.916,4770,TUOLUMNE R,TUOLUMNE,City and County of San Francisco PUC,temp
GIRARD,GRD,,,,41.133,-122.283,4800,SACRAMENTO R,SHASTA,US Bureau of Reclamation,temp
CARPENTER RIDGE,CAR,,,,40.069,-121.582,4812,BUTTE CR,BUTTE,CAL FIRE,temp
HIGH GLADE,HYG,,,,39.204,-122.805,4840,CACHE CR,LAKE,US Forest Service,temp
WESTFALL,WST,,,,37.4494,-119.6497,4880,FRESNO R,MARIPOSA,US Army Corps of Engineers,temp
KEENWILD,KNW,,,,33.714,-116.714,4920,SAN JACINTO R,RIVERSIDE,US Forest Service,temp
ROCK CAMP,RCM,,,,34.288,-117.213,4924,MOJAVE DESERT,SAN BERNARDINO,US Forest Service,temp
MOUNT ELIZABETH,MTE,,,,38.057,-120.241,4933,TUOLUMNE R,TUOLUMNE,US Forest Service,temp
MINERAL,MIN,,,,40.348,-121.609,4957,SACTO VLY NE,TEHAMA,CA Dept of Water Resources/Flood Management,temp
YOSEMITE NEAR WAWONA,YOW,,,,37.508,-119.632,4957,MERCED R,MARIPOSA,Merced Irrigation District,temp
ANTELOPE LAKE,ANT,,,,40.18,-120.607,4960,FEATHER R,PLUMAS,CA Dept of Water Resources/O & M,temp
SQUAW PEAK,SQP,,,,42.0697,-123.0117,4964,KLAMATH R,SISKIYOU,US Forest Service,temp
BEAVER,BVE,,,,38.483,-120.317,5000,MOKELUMNE R,AMADOR,US Forest Service,temp
SANTA RITA,SRI,,,,36.348,-120.598,5000,SAN BENITO R,SAN BENITO,CAL FIRE,temp
DEVILS GARDEN,DVG,,,,41.522,-120.668,5022,PIT R,MODOC,CAL FIRE,temp
FENCE MEADOW,FEN,,,,36.961,-119.175,5048,KINGS R,FRESNO,US Forest Service,temp
ASH VALLEY,AHV,,,,41.058,-120.706,5090,PIT R,LASSEN,US Bureau of Land Management,temp
BIG FLAT,BFL,,,,41.08,-122.942,5100,TRINITY R,TRINITY,US Bureau of Reclamation,temp
CROWDER FLAT,CWF,,,,41.8934,-120.7519,5100,KLAMATH R,MODOC,Natural Resources Conservation Service,temp
NOEL SPRING,NLS,,,,39.538,-122.667,5100,STONY CR,GLENN,US Army Corps of Engineers,temp
PLUMAS EUREKA ST PARK WEATHER STATION,EWS,,,,39.75778,-120.69611,5107,FEATHER R,PLUMAS,CA Dept of Water Resources/Flood Management,temp
NATURE POINT,NTP,,,,37.342,-119.36,5150,SAN JOAQUIN R,MADERA,US Bureau of Reclamation,temp
PECKINPAH,PCK,,,,37.25,-119.458,5150,SAN JOAQUIN R,MADERA,US Bureau of Reclamation,temp
ROBBS POWERHOUSE,RBP,,,,38.90238,-120.37654,5150,AMERICAN R,EL DORADO,Sacramento Municipal Utility District,temp
WESTWOOD,WWD,,,,40.307,-120.9,5150,FEATHER R,LASSEN,CAL FIRE,temp
ROUND MOUNTAIN (CDF),RND,,,,41.42,-121.458,5258,PIT R,SISKIYOU,CAL FIRE,temp
BLUE CANYON,BLC,,,,39.28011,-120.70871,5280,AMERICAN R,PLACER,US Bureau of Reclamation,temp
RAVENDALE,RAV,,,,40.731,-120.316,5298,SUSAN R,LASSEN,US Forest Service,temp
BOWMAN LAKE,BOL,,,,39.4481,-120.6536,5390,YUBA R,NEVADA,CA Dept of Water Resources/Flood Management,temp
MOUNTAIN HOME,MNH,,,,36.242,-118.71,5400,TULE R,TULARE,US Army Corps of Engineers,temp
STOUTS MEADOW,STM,,,,41.17,-121.938,5400,MC CLOUD R,SHASTA,US Bureau of Reclamation,temp
THOMPSON VALLEY,TVL,,,,39.979,-120.4789,5404,FEATHER R,PLUMAS,CA Dept of Water Resources,temp
CRYSTAL LAKE BAER,CSB,,,,34.326,-117.837,5447,SAN GABRIEL R,LOS ANGELES,US Forest Service,temp
BENTON,BTN,,,,37.843,-118.478,5450,OWENS R,MONO,CAL FIRE,temp
CHILAO,CIO,,,,34.333,-118.033,5450,SAN GABRIEL R,LOS ANGELES,US Forest Service,temp
COLLINS BALDY,CLB,,,,41.775,-122.9503,5493,KLAMATH R,SISKIYOU,US Forest Service,temp
WALKER PASS,WKP,,,,35.6658,-118.0569,5572,KERN R,KERN,US Bureau of Land Management,temp
GREEK STORE,GKS,,,,39.075,-120.558,5600,AMERICAN R,PLACER,US Bureau of Reclamation,temp
PINECREST 2 RAWS NEAR PINECREST 1SW,PNW,,,,38.18611,-120.01056,5600,TUOLUMNE R,TUOLUMNE,US Forest Service,temp
CONVERSE,CON,,,,34.194,-116.913,5618,SANTA ANA R,SAN BERNARDINO,US Forest Service,temp
MUMBO BASIN,MUM,,,,41.197,-122.523,5650,TRINITY R,TRINITY,US Bureau of Reclamation,temp
DINKEY,DKY,,,,37.06639,-119.03944,5668,KINGS R,FRESNO,US Forest Service,temp
DOYLE CROSSING,DOY,,,,40.1192,-120.483,5670,FEATHER R,PLUMAS,CA Dept of Water Resources,temp
BOGARD RANGER STATION,BGD,,,,40.59,-121.08,5680,SUSAN R,LASSEN,CAL FIRE,temp
LADDER BUTTE,LDB,,,,40.817,-121.317,5700,PIT R,LASSEN,US Forest Service,temp
SLATE CREEK,SLT,,,,41.045,-122.478,5700,SACRAMENTO R,SHASTA,US Bureau of Reclamation,temp
